t,psnr
1,14.948
2,14.935
3,14.93
4,14.931
5,14.931
6,14.925
7,14.924
8,14.918
9,14.912
10,14.908
11,14.905
12,14.888
13,14.871
14,14.859
15,14.856
16,14.851
17,14.812
18,14.789
19,14.764
20,14.759
21,14.753
22,14.706
23,14.689
24,14.665
25,14.662
26,14.658
27,14.599
28,14.579
29,14.558
30,14.545
31,14.54
32,14.477
33,14.456
34,14.436
35,14.418
36,14.399
37,14.382
38,14.365
39,14.349
40,14.34
41,14.322
42,14.308
43,14.295
44,14.281
45,14.269
46,14.256
47,14.243
48,14.231
49,14.223
50,14.217
51,14.209
52,14.201
53,14.195
54,14.188
55,14.187
56,14.177
57,14.176
58,14.169
59,14.165
60,14.165
61,14.158
62,14.155
63,14.148
64,14.146
65,14.151
66,14.146
67,14.146
68,14.144
69,14.147
70,14.149
71,14.151
72,14.151
73,14.147
74,14.154
75,14.157
76,14.15
77,14.145
78,14.147
79,14.143
80,14.144
81,14.137
82,14.132
83,14.131
84,14.126
85,14.126
86,14.115
87,14.112
88,14.109
89,14.105
90,14.104
91,14.085
92,14.081
93,14.078
94,14.074
95,14.073
96,14.06
97,14.056
98,14.05
99,14.055
100,14.057
101,14.043
102,14.038
103,14.036
104,14.044
105,14.051
106,14.044
107,14.049
108,14.054
109,14.066
110,14.074
111,14.079
112,14.082
113,14.086
114,14.096
115,14.105
116,14.083
117,14.079
118,14.077
119,14.077
120,14.077
121,14.068
122,14.06
123,14.051
124,14.047
125,14.043
126,14.036
127,14.028
128,14.021
129,14.021
130,14.011
131,14.001
132,13.993
133,13.982
134,13.977
135,13.968
136,13.957
137,13.949
138,13.94
139,13.936
140,13.903
141,13.909
142,13.897
143,13.887
144,13.885
145,13.861
146,13.866
147,13.867
148,13.862
149,13.869
150,13.872
