model,frame,knot,t,block,head,prefix_mass,patch_mass,entropy,top1_prob,coherence_ratio,spearman,auc_own_mass,auc_dist,n_distinct_top1
frozen,5,0,1.0,0,0,0.9996206164360046,0.00037938356399536133,0.48816075921058655,0.19567710161209106,0.5255908370018005,0.018609357997775078,0.4288865029811859,0.5314557552337646,30
frozen,5,0,1.0,0,1,0.9709566235542297,0.029043376445770264,0.7399520874023438,0.09791955351829529,0.7250238656997681,0.027552271261811256,0.46092718839645386,0.5175028443336487,5
frozen,5,0,1.0,0,2,0.9999999403953552,5.960464477539063e-08,0.19257467985153198,0.06119935214519501,0.38045555353164673,0.0769602432847023,0.3706528842449188,0.419300377368927,9
frozen,5,0,1.0,0,3,0.9998689293861389,0.00013107061386108398,0.5641502141952515,0.15441034734249115,0.6341697573661804,0.0027812542393803596,0.4787633419036865,0.4444332420825958,27
frozen,5,0,1.0,0,4,0.9997833371162415,0.00021666288375854492,0.49638569355010986,0.1689704954624176,0.5943936705589294,0.039926812052726746,0.5806493163108826,0.5450593829154968,22
frozen,5,0,1.0,0,5,0.9998583197593689,0.00014168024063110352,0.6999630331993103,0.05368953198194504,0.4678803086280823,0.061259251087903976,0.5596390962600708,0.531705915927887,16
frozen,5,0,1.0,0,6,0.999043345451355,0.0009566545486450195,0.7194635272026062,0.09777798503637314,0.42926454544067383,0.05450104549527168,0.49246761202812195,0.5782684087753296,22
frozen,5,0,1.0,0,7,0.9995243549346924,0.0004756450653076172,0.6811607480049133,0.1035195142030716,0.6220183968544006,0.01257189642637968,0.5206067562103271,0.5598968863487244,7
frozen,5,0,1.0,0,8,0.9999985098838806,1.4901161193847656e-06,0.5077628493309021,0.13460831344127655,0.4026288092136383,0.23104535043239594,0.4925682544708252,0.4908691644668579,21
frozen,5,0,1.0,0,9,0.9965329170227051,0.003467082977294922,0.6672343611717224,0.04536961391568184,0.6230678558349609,-0.0039337133057415485,0.43570736050605774,0.5169141292572021,15
frozen,5,0,1.0,0,10,0.9999393224716187,6.0677528381347656e-05,0.5044699907302856,0.1883307695388794,0.49677470326423645,0.04270472005009651,0.38174745440483093,0.4382697641849518,9
frozen,5,0,1.0,0,11,0.9999963045120239,3.6954879760742188e-06,0.4490281045436859,0.22319847345352173,0.6450420618057251,0.05336112529039383,0.4521586000919342,0.4375620484352112,27
frozen,5,0,1.0,0,12,0.9999998211860657,1.7881393432617188e-07,0.552179753780365,0.16840796172618866,0.7113267779350281,0.006894359830766916,0.47567930817604065,0.5131452679634094,2
frozen,5,0,1.0,0,13,0.9999903440475464,9.655952453613281e-06,0.47335872054100037,0.3039282560348511,0.46884119510650635,-0.012953788042068481,0.5439093112945557,0.5223226547241211,20
frozen,5,0,1.0,0,14,0.9999939203262329,6.079673767089844e-06,0.38559943437576294,0.3301275670528412,0.5260971784591675,0.07025404274463654,0.5252647995948792,0.3466089963912964,10
frozen,5,0,1.0,0,15,0.9999915957450867,8.404254913330078e-06,0.6550448536872864,0.138992577791214,0.762787401676178,0.04393886774778366,0.5863262414932251,0.5287728905677795,4
frozen,5,0,1.0,1,0,0.9406359195709229,0.05936408042907715,0.8654022216796875,0.028842780739068985,0.5936177372932434,0.06393653154373169,0.5461239814758301,0.5125976800918579,52
frozen,5,0,1.0,1,1,0.9962671995162964,0.0037328004837036133,0.38457202911376953,0.49786150455474854,0.0,-0.0005614747642539442,0.5748792886734009,0.5122636556625366,1
frozen,5,0,1.0,1,2,0.8740856647491455,0.1259143352508545,0.40535974502563477,0.2361956387758255,0.5158337950706482,0.10592762380838394,0.4375910460948944,0.5070778727531433,28
frozen,5,0,1.0,1,3,0.9291053414344788,0.07089465856552124,0.6837295889854431,0.088042251765728,0.5916273593902588,0.1257125437259674,0.4227672219276428,0.4953899681568146,52
frozen,5,0,1.0,1,4,0.9999282360076904,7.176399230957031e-05,0.4972158670425415,0.17977683246135712,0.5820919871330261,0.07134157419204712,0.528986394405365,0.5874549150466919,18
frozen,5,0,1.0,1,5,0.9926483631134033,0.00735163688659668,0.49324002861976624,0.22225217521190643,0.4490359425544739,0.07172224670648575,0.504230260848999,0.45026880502700806,19
frozen,5,0,1.0,1,6,0.9506806135177612,0.04931938648223877,0.7612655758857727,0.07604724913835526,0.5609972476959229,0.05497372895479202,0.5359857082366943,0.571121096611023,38
frozen,5,0,1.0,1,7,0.9607641100883484,0.03923588991165161,0.7791099548339844,0.06770595163106918,0.46653446555137634,0.054397717118263245,0.4753605127334595,0.46608859300613403,37
frozen,5,0,1.0,1,8,0.9711571335792542,0.02884286642074585,0.5430828928947449,0.2376476377248764,0.7249861359596252,-0.016599508002400398,0.46898654103279114,0.5045154690742493,18
frozen,5,0,1.0,1,9,0.9865241646766663,0.01347583532333374,0.759833812713623,0.043431125581264496,0.5627371072769165,0.08990488201379776,0.5587239861488342,0.5480854511260986,60
frozen,5,0,1.0,1,10,0.9961591958999634,0.003840804100036621,0.4864405393600464,0.15253977477550507,0.40789318084716797,0.12125778943300247,0.5049043893814087,0.4981124997138977,28
