t,psnr
1,12.224
2,12.379
3,11.997
4,11.945
5,12.304
6,11.965
7,11.829
8,11.917
9,11.968
10,12.145
11,11.901
12,11.599
13,11.603
14,11.778
15,11.615
16,11.773
17,11.5
18,11.907
19,11.845
20,11.776
21,11.734
22,11.684
23,11.815
24,11.745
25,11.78
26,11.638
27,11.693
28,12.02
29,11.827
30,11.785
31,11.894
32,11.406
33,11.84
34,11.683
35,11.801
36,11.812
37,11.63
38,12.02
39,11.937
40,11.876
41,11.921
42,11.928
43,11.711
44,12.073
45,11.576
46,11.55
47,11.718
48,11.846
49,11.773
50,11.518
51,11.435
52,11.546
53,11.507
54,11.597
55,11.37
56,11.321
57,11.114
58,11.476
59,11.557
60,11.55
61,11.337
62,11.326
63,11.448
64,11.361
65,11.421
66,11.493
67,11.216
68,11.385
69,11.64
70,11.402
71,11.189
72,11.048
73,11.192
74,11.12
75,11.017
76,11.177
77,11.245
78,11.211
79,11.061
80,10.99
81,10.978
82,11.112
83,11.013
84,10.974
85,11.048
86,10.892
87,11.01
88,11.058
89,10.972
90,10.981
91,11.072
92,10.892
93,10.981
94,11.069
95,11.236
96,10.995
97,11.078
98,11.049
99,10.916
100,10.984
101,10.952
102,10.9
103,10.776
104,10.866
105,10.853
106,10.859
107,10.931
108,10.939
109,10.908
110,10.98
111,10.893
112,10.983
113,10.931
114,10.929
115,11.018
116,11.027
117,10.987
118,10.898
119,11.025
120,10.906
121,11.048
122,11.029
123,10.99
124,10.984
125,10.989
126,11.06
127,10.952
128,11.037
129,11.011
130,11.082
131,10.974
132,11.012
133,11.079
134,11.003
135,11.001
136,11.02
137,11.104
138,11.068
139,11.12
140,11.146
141,11.091
142,11.074
143,11.074
144,11.078
145,11.157
146,11.161
147,11.189
148,11.244
149,11.261
150,11.246
