frame,motion,entropy
1,0.001930,0.486679
2,0.001930,0.594158
3,0.000823,0.448537
4,0.001797,0.575972
5,0.000568,0.553642
6,0.001056,0.475078
7,0.002676,0.599204
8,0.001179,0.377906
9,0.001999,0.640497
10,0.000259,0.675596
11,0.000195,0.614674
12,0.000808,0.672729
13,0.000491,0.657425
14,0.000494,0.664116
15,0.000225,0.676957
16,0.000281,0.680713
17,0.000945,0.679369
18,0.000570,0.683871
19,0.000595,0.675002
20,0.000281,0.687045
21,0.000211,0.683803
22,0.001203,0.673748
23,0.000618,0.686392
24,0.000646,0.657738
25,0.000391,0.615467
26,0.000345,0.629164
27,0.001527,0.665842
28,0.000664,0.673210
29,0.000701,0.646963
30,0.000480,0.636114
31,0.000265,0.665022
32,0.001648,0.649867
33,0.000773,0.688949
34,0.000718,0.686012
35,0.000540,0.634024
36,0.001010,0.675838
37,0.000720,0.684255
38,0.000754,0.687520
39,0.000785,0.688026
40,0.000517,0.672738
41,0.001151,0.666492
42,0.000712,0.683987
43,0.000721,0.684197
44,0.000690,0.684550
45,0.000607,0.649516
46,0.001162,0.651378
47,0.000731,0.682376
48,0.000749,0.687891
49,0.000676,0.690667
50,0.000612,0.655678
51,0.001199,0.653951
52,0.000676,0.676738
53,0.000660,0.689390
54,0.000647,0.685366
55,0.000593,0.670022
56,0.001845,0.672200
57,0.000395,0.630373
58,0.000692,0.687157
59,0.000691,0.683311
60,0.000241,0.663977
61,0.001475,0.687618
62,0.000689,0.665899
63,0.000663,0.686501
64,0.000659,0.688711
65,0.000315,0.673120
66,0.001214,0.689675
67,0.000603,0.667783
68,0.000636,0.690287
69,0.000709,0.688141
70,0.000318,0.671090
71,0.001462,0.689237
72,0.000699,0.641092
73,0.000733,0.675334
74,0.000805,0.688851
75,0.000401,0.671181
76,0.001213,0.684714
77,0.000660,0.667179
78,0.000720,0.663863
79,0.000591,0.688836
80,0.000562,0.669093
81,0.000958,0.680755
82,0.000860,0.646193
83,0.000718,0.659432
84,0.000586,0.689539
85,0.000555,0.677714
86,0.000896,0.682897
87,0.000796,0.658015
88,0.000705,0.661619
89,0.000587,0.690417
90,0.000547,0.675221
91,0.001231,0.679208
92,0.000711,0.654785
93,0.000728,0.652699
94,0.000604,0.688784
95,0.000534,0.668677
96,0.000985,0.684289
97,0.000769,0.687922
98,0.000749,0.572853
99,0.000506,0.617588
100,0.000417,0.685658
101,0.000962,0.680234
102,0.000623,0.655147
103,0.000710,0.689570
104,0.000467,0.685396
105,0.000304,0.687778
106,0.001206,0.674069
107,0.000524,0.681180
108,0.000650,0.670766
109,0.000408,0.673700
110,0.000494,0.682979
111,0.000887,0.667013
112,0.000645,0.665513
113,0.000653,0.686933
114,0.000506,0.669624
115,0.000345,0.680890
116,0.001286,0.667337
117,0.000745,0.643300
118,0.000624,0.691172
119,0.000502,0.620283
120,0.000620,0.612948
121,0.000738,0.685478
122,0.000606,0.687315
123,0.000621,0.658921
124,0.000515,0.634918
125,0.000863,0.656507
126,0.000735,0.682896
127,0.000625,0.685955
128,0.000619,0.684471
129,0.000595,0.642243
130,0.001023,0.640734
131,0.000860,0.670609
132,0.000727,0.680970
133,0.000769,0.680612
134,0.000602,0.625272
135,0.001008,0.610131
136,0.000861,0.674449
137,0.000701,0.686558
138,0.000708,0.671943
139,0.000602,0.667911
140,0.001661,0.663468
141,0.000314,0.604752
142,0.000864,0.665120
143,0.000682,0.685211
144,0.000461,0.629879
145,0.000959,0.659789
146,0.000328,0.690162
147,0.000272,0.691176
148,0.000405,0.675536
149,0.000217,0.657563
150,0.000130,0.693147
