frame,motion,entropy
1,0.001930,0.971936
2,0.001930,0.916977
3,0.000823,0.888604
4,0.001797,0.865088
5,0.000568,0.936339
6,0.001056,0.867745
7,0.002676,0.904564
8,0.001179,0.833355
9,0.001999,0.873882
10,0.000259,1.058731
11,0.000195,1.045392
12,0.000808,1.043007
13,0.000491,1.066611
14,0.000494,1.065387
15,0.000225,1.072518
16,0.000281,1.082798
17,0.000945,1.086615
18,0.000570,1.085604
19,0.000595,1.085604
20,0.000281,1.083766
21,0.000211,1.091144
22,0.001203,1.084253
23,0.000618,1.085640
24,0.000646,1.073798
25,0.000391,1.032950
26,0.000345,1.000453
27,0.001527,1.050931
28,0.000664,1.071890
29,0.000701,1.063243
30,0.000480,1.037984
31,0.000265,1.046652
32,0.001648,1.062109
33,0.000773,1.070202
34,0.000718,1.092324
35,0.000540,1.059492
36,0.001010,1.051251
37,0.000720,1.085377
38,0.000754,1.090546
39,0.000785,1.093414
40,0.000517,1.084523
41,0.001151,1.072865
42,0.000712,1.080782
43,0.000721,1.089045
44,0.000690,1.089982
45,0.000607,1.069939
46,0.001162,1.045434
47,0.000731,1.070261
48,0.000749,1.089602
49,0.000676,1.094885
50,0.000612,1.074952
51,0.001199,1.052238
52,0.000676,1.068001
53,0.000660,1.087277
54,0.000647,1.092691
55,0.000593,1.081713
56,0.001845,1.076600
57,0.000395,1.050357
58,0.000692,1.056451
59,0.000691,1.090728
60,0.000241,1.074722
61,0.001475,1.080161
62,0.000689,1.080536
63,0.000663,1.078165
64,0.000659,1.093508
65,0.000315,1.084644
66,0.001214,1.085781
67,0.000603,1.082641
68,0.000636,1.081640
69,0.000709,1.095101
70,0.000318,1.082330
71,0.001462,1.084559
72,0.000699,1.066882
73,0.000733,1.052781
74,0.000805,1.087390
75,0.000401,1.083488
76,0.001213,1.084147
77,0.000660,1.077060
78,0.000720,1.067861
79,0.000591,1.080840
80,0.000562,1.082742
81,0.000958,1.080863
82,0.000860,1.064394
83,0.000718,1.051010
84,0.000586,1.078411
85,0.000555,1.088525
86,0.000896,1.086489
87,0.000796,1.072910
88,0.000705,1.060496
89,0.000587,1.079622
90,0.000547,1.087361
91,0.001231,1.083856
92,0.000711,1.068975
93,0.000728,1.052303
94,0.000604,1.073821
95,0.000534,1.082344
96,0.000985,1.081409
97,0.000769,1.091800
98,0.000749,1.024165
99,0.000506,0.967664
100,0.000417,1.049942
101,0.000962,1.089158
102,0.000623,1.065938
103,0.000710,1.075273
104,0.000467,1.092707
105,0.000304,1.091124
106,0.001206,1.086596
107,0.000524,1.082915
108,0.000650,1.080996
109,0.000408,1.074590
110,0.000494,1.081166
111,0.000887,1.081247
112,0.000645,1.062015
113,0.000653,1.081342
114,0.000506,1.082719
115,0.000345,1.077819
116,0.001286,1.079986
117,0.000745,1.053280
118,0.000624,1.069011
119,0.000502,1.053617
120,0.000620,1.000058
121,0.000738,1.048721
122,0.000606,1.091583
123,0.000621,1.077453
124,0.000515,1.044451
125,0.000863,1.043579
126,0.000735,1.073788
127,0.000625,1.089431
128,0.000619,1.090955
129,0.000595,1.066282
130,0.001023,1.037525
131,0.000860,1.058372
132,0.000727,1.078756
133,0.000769,1.086185
134,0.000602,1.053833
135,0.001008,1.007547
136,0.000861,1.041651
137,0.000701,1.085639
138,0.000708,1.084599
139,0.000602,1.074737
140,0.001661,1.069142
141,0.000314,1.030974
142,0.000864,1.024475
143,0.000682,1.079361
144,0.000461,1.055723
145,0.000959,1.050902
146,0.000328,1.077427
147,0.000272,1.095885
148,0.000405,1.087735
149,0.000217,1.067355
150,0.000130,1.075131
