t,psnr
1,22.174
2,22.306
3,22.375
4,22.426
5,22.429
6,22.438
7,22.461
8,22.478
9,22.472
10,22.453
11,22.465
12,22.384
13,22.344
14,22.28
15,22.292
16,22.269
17,22.136
18,22.078
19,21.978
20,21.988
21,21.965
22,21.835
23,21.806
24,21.748
25,21.765
26,21.751
27,21.575
28,21.541
29,21.485
30,21.488
31,21.473
32,21.302
33,21.239
34,21.198
35,21.156
36,21.122
37,21.025
38,20.964
39,20.895
40,20.871
41,20.816
42,20.731
43,20.674
44,20.599
45,20.575
46,20.535
47,20.464
48,20.426
49,20.387
50,20.37
51,20.346
52,20.289
53,20.265
54,20.228
55,20.218
56,20.154
57,20.156
58,20.105
59,20.085
60,20.087
61,20.026
62,20.021
63,19.971
64,19.951
65,19.959
66,19.912
67,19.916
68,19.881
69,19.876
70,19.873
71,19.845
72,19.847
73,19.817
74,19.835
75,19.84
76,19.809
77,19.79
78,19.794
79,19.763
80,19.756
81,19.725
82,19.708
83,19.703
84,19.674
85,19.668
86,19.634
87,19.619
88,19.611
89,19.585
90,19.576
91,19.53
92,19.51
93,19.507
94,19.48
95,19.472
96,19.435
97,19.42
98,19.402
99,19.404
100,19.38
101,19.342
102,19.312
103,19.297
104,19.305
105,19.297
106,19.246
107,19.235
108,19.208
109,19.208
110,19.169
111,19.106
112,19.052
113,19.028
114,19.034
115,19.03
116,18.967
117,18.935
118,18.918
119,18.9
120,18.892
121,18.858
122,18.834
123,18.799
124,18.786
125,18.771
126,18.746
127,18.721
128,18.686
129,18.68
130,18.652
131,18.615
132,18.591
133,18.558
134,18.545
135,18.524
136,18.489
137,18.468
138,18.436
139,18.423
140,18.36
141,18.363
142,18.324
143,18.299
144,18.277
145,18.237
146,18.246
147,18.242
148,18.23
149,18.238
150,18.246
