beta,flicker,psnr
0.0,0.001018,15.1498
2.0,0.000943,15.1370
4.0,0.000868,15.1873
6.0,0.000839,15.2931
8.0,0.000858,15.4655
12.0,0.000927,15.7311
16.0,0.000944,15.8881
