beta,flicker,psnr
0.0,0.001216,15.1617
2.0,0.001155,15.1615
4.0,0.001072,15.2121
6.0,0.001008,15.3829
8.0,0.001027,15.5782
12.0,0.001045,15.7418
16.0,0.001054,15.8924
