beta,flicker,psnr
0.0,0.001097,15.1624
2.0,0.001044,15.1615
4.0,0.000968,15.2119
6.0,0.000908,15.3828
8.0,0.000924,15.5780
12.0,0.000956,15.7421
16.0,0.000961,15.8926
