t,psnr
1,13.398
2,13.321
3,13.321
4,13.302
5,13.26
6,13.382
7,13.308
8,13.259
9,13.24
10,13.191
11,13.235
12,13.26
13,13.228
14,13.167
15,13.227
16,13.161
17,13.284
18,13.227
19,13.281
20,13.269
21,13.284
22,13.248
23,13.138
24,13.221
25,13.23
26,13.198
27,13.238
28,13.024
29,13.061
30,13.121
31,13.079
32,13.174
33,13.062
34,13.092
35,13.133
36,13.046
37,13.151
38,13.078
39,13.002
40,13.015
41,13.027
42,13.05
43,13.137
44,13.083
45,13.162
46,13.17
47,13.139
48,13.12
49,13.096
50,13.141
51,13.181
52,13.14
53,13.161
54,13.17
55,13.232
56,13.215
57,13.25
58,13.122
59,13.13
60,13.138
61,13.18
62,13.16
63,13.157
64,13.153
65,13.154
66,13.189
67,13.206
68,13.173
69,13.078
70,13.172
71,13.194
72,13.167
73,13.185
74,13.191
75,13.229
76,13.113
77,13.132
78,13.171
79,13.239
80,13.275
81,13.253
82,13.19
83,13.264
84,13.292
85,13.255
86,13.341
87,13.267
88,13.284
89,13.308
90,13.305
91,13.286
92,13.3
93,13.288
94,13.263
95,13.209
96,13.305
97,13.238
98,13.231
99,13.327
100,13.302
101,13.292
102,13.31
103,13.351
104,13.336
105,13.343
106,13.297
107,13.319
108,13.408
109,13.399
110,13.35
111,13.451
112,13.406
113,13.481
114,13.456
115,13.466
116,13.43
117,13.401
118,13.452
119,13.465
120,13.499
121,13.458
122,13.447
123,13.456
124,13.449
125,13.48
126,13.383
127,13.462
128,13.432
129,13.447
130,13.445
131,13.455
132,13.471
133,13.461
134,13.477
135,13.49
136,13.441
137,13.435
138,13.48
139,13.497
140,13.447
141,13.464
142,13.49
143,13.491
144,13.515
145,13.494
146,13.523
147,13.468
148,13.495
149,13.513
150,13.492
