model,block,knot,t,group,n_token_frames,prefix_mass_mean,prefix_mass_std,patch_mass_mean,patch_mass_std,entropy_mean,entropy_std,top1_prob_mean,top1_prob_std,dist_to_own_mean,dist_to_own_std,own_mass_mean,own_mass_std
frozen,0,0,1.0,visible,81247,0.9966354370117188,0.001725518493913114,0.003364602569490671,0.001725518493913114,0.8425906300544739,0.03079490177333355,0.03290681168437004,0.019195880740880966,12.74443244934082,5.220162868499756,0.0010889418190345168,0.002248734701424837
frozen,0,0,1.0,occluded,180953,0.9959849715232849,0.002729130443185568,0.004014994017779827,0.002729130443185568,0.8495177030563354,0.0326513797044754,0.03243926167488098,0.01823728159070015,13.2055025100708,4.843837261199951,0.000963797268923372,0.0019776462577283382
frozen,11,0,1.0,visible,81247,0.5706589818000793,0.057147834450006485,0.42934098839759827,0.057147834450006485,0.774883508682251,0.043647076934576035,0.07120373100042343,0.043500494211912155,6.775920391082764,7.2234015464782715,0.011405925266444683,0.024545101448893547
frozen,11,0,1.0,occluded,180953,0.5611783266067505,0.05812694504857063,0.4388216435909271,0.05812694504857063,0.8002932071685791,0.03913350775837898,0.04852674901485443,0.029189862310886383,10.563196182250977,9.392094612121582,0.007113940082490444,0.015156522393226624
frozen,23,0,1.0,visible,81247,0.6156366467475891,0.0898512676358223,0.3843632638454437,0.0898512676358223,0.8757222294807434,0.028618762269616127,0.02030429244041443,0.010995338670909405,8.13817310333252,4.915676116943359,0.0033464403823018074,0.005727388430386782
frozen,23,0,1.0,occluded,180953,0.6188859939575195,0.09618472307920456,0.38111403584480286,0.09618472307920456,0.8613066077232361,0.030790500342845917,0.022154152393341064,0.011938962154090405,8.132013320922852,4.632857799530029,0.003248619381338358,0.004825981799513102
frozen,0,12,0.7647058823529412,visible,81247,0.997050940990448,0.001219474826939404,0.002949086017906666,0.0012194747105240822,0.826560914516449,0.029877210035920143,0.046932246536016464,0.020957110449671745,12.623396873474121,5.388138294219971,0.0014332726132124662,0.003031571628525853
frozen,0,12,0.7647058823529412,occluded,180953,0.9967175722122192,0.0014293550048023462,0.0032825032249093056,0.001429355121217668,0.8347322940826416,0.030624086037278175,0.04603424668312073,0.01924395188689232,13.158875465393066,4.963565826416016,0.0012002550065517426,0.0025370344519615173
frozen,11,12,0.7647058823529412,visible,81247,0.6568887829780579,0.04269273951649666,0.34311118721961975,0.04269273951649666,0.813591480255127,0.039283283054828644,0.04826207458972931,0.034698572009801865,6.911910057067871,7.359249114990234,0.009997336193919182,0.019919980317354202
frozen,11,12,0.7647058823529412,occluded,180953,0.66534024477005,0.040396951138973236,0.33465975522994995,0.040396951138973236,0.837949275970459,0.029521947726607323,0.030510591343045235,0.020062312483787537,9.640673637390137,8.514045715332031,0.006446060258895159,0.011713826097548008
frozen,23,12,0.7647058823529412,visible,81247,0.6998512148857117,0.07469034194946289,0.30014875531196594,0.07469034194946289,0.8867225646972656,0.02365083433687687,0.01507555041462183,0.007548516150563955,8.174310684204102,4.92705774307251,0.003569599473848939,0.004719638265669346
frozen,23,12,0.7647058823529412,occluded,180953,0.7008958458900452,0.08131776750087738,0.29910409450531006,0.08131776750087738,0.8763256072998047,0.02695881575345993,0.016094494611024857,0.008071215823292732,8.151144027709961,4.827203750610352,0.003464930457994342,0.0043427664786577225
frozen,0,24,0.1111111111111112,visible,81247,0.9990800619125366,0.0002991069632116705,0.0009198612533509731,0.0002991069632116705,0.7937565445899963,0.035530902445316315,0.062418121844530106,0.02492954209446907,13.08837604522705,5.134788513183594,0.0012406186433508992,0.002732515800744295
frozen,0,24,0.1111111111111112,occluded,180953,0.9990860819816589,0.00032118253875523806,0.0009139712783508003,0.00032118253875523806,0.7983845472335815,0.03779682517051697,0.0651988536119461,0.025088544934988022,13.488293647766113,4.777703762054443,0.0011108233593404293,0.0027498428244143724
